transcript_id,speaker,language,timestamp,text,duration_sec
T025,Speaker B,Yoruba,9/2/2026 8:23,E se fun pipe wa. Bawo ni mo se le ran yin lowo loni? A o fi imudojuiwon ranse si yin leyin ayewo.,45
T026,Speaker A,Igbo,9/6/2026 18:47,Anyị ga-eziga mmelite mgbe nyocha ahụ gasịrị.,57
T027,Speaker C,Hausa,9/3/2026 18:50,No.,133
T028,Speaker C,Hausa,9/6/2026 8:37,Don Allah a ba ni lambar bayanin ku domin in duba.,120
T029,Speaker A,Igbo,9/8/2026 1:38,Anyị tụlere okwu ahụ ma kweta izitere gị ozi echi. Onye ahịa kwadoro na edoziwo nsogbu ahụ.,-12
T030,Speaker E,Hausa,9/2/2026 3:24,Mun tattauna batun kuma za mu sake tuntubar ku gobe. Na gode da kiran ku. Ta yaya zan taimaka muku yau?,83
T031,Speaker C,English ,9/6/2026 21:33,,96
T032,Speaker E,Hausa,9/7/2026 22:20,Mun tattauna batun kuma za mu sake tuntubar ku gobe.,171
T033,Speaker B,Igbo,9/2/2026 10:45,Biko nye m nọmba ntụaka gị ka m nwee ike lelee ya.,73
T034,Speaker D,EN,9/1/2026 23:47,The customer confirmed that the issue has now been resolved.,144
T035,Speaker A,english,9/4/2026 4:53,Please provide your reference number so I can check the record.,52
T036, SPEAKER B,Hausa,9/3/2026 11:06,Za mu aika da sabon bayani bayan mun kammala binciken.,133
T037,Speaker D,Yoruba,9/6/2026 10:00,A ti jiroro oro naa ati pe a o kan si yin lola.,44
T038,Speaker A,English,9/4/2026 1:32,N/A ???,48
T039,Speaker D,Hausa,9/2/2026 1:00,Don Allah a ba ni lambar bayanin ku domin in duba.,127
T040,Speaker D,Hausa,9/6/2026 13:14,Na gode da kiran ku. Ta yaya zan taimaka muku yau?,92
T041,Speaker_D,Yoruba,9/3/2026 3:16,,149
T042,Speaker C,Hausa,9/7/2026 13:03,Mun tattauna batun kuma za mu sake tuntubar ku gobe.,173
T043,Speaker C,English,9/7/2026 10:01,Thank you for calling. How may I assist you today? Please provide your reference number so I can check the record.,153
T044,Speaker A,HA,9/8/2026 3:29,Za mu aika da sabon bayani bayan mun kammala binciken. Mun tattauna batun kuma za mu sake tuntubar ku gobe.,42
T045,speaker b,English,9/7/2026 23:05,Please provide your reference number so I can check the record. We discussed the next steps and agreed to send an update tomorrow.,88
T046,Speaker E,English,9/7/2026 19:20,Thank you for calling. How may I assist you today?,174
T047,Speaker C,Yoruba,9/4/2026 2:10,A ti jiroro oro naa ati pe a o kan si yin lola.,105
T048,Speaker D,Yoruba,9/6/2026 13:51,A ti jiroro oro naa ati pe a o kan si yin lola.,101
T049,Speaker A,Yoruba,9/2/2026 12:18,E se fun pipe wa. Bawo ni mo se le ran yin lowo loni?,169
T050,Speaker E,English,9/5/2026 8:18,I am following up on the request you submitted yesterday.,58
T051,Speaker B,English,9/4/2026 19:36,The customer confirmed that the issue has now been resolved. Please provide your reference number so I can check the record.,164
T052,Speaker-E,English,9/2/2026 21:40,The customer confirmed that the issue has now been resolved.,51
T053,Speaker A,Yoruba,9/4/2026 11:22,Thanks.,64
T054,Speaker E,Yoruba,11/9/2026 14:30,A ti jiroro oro naa ati pe a o kan si yin lola.,77
T055,Speaker C,Igbo,9/1/2026 21:02,Daalụ maka ịkpọ anyị. Kedu ka m ga-esi nyere gị aka taa? Biko nye m nọmba ntụaka gị ka m nwee ike lelee ya.,95
T056,Speaker C,English,bad_timestamp,I am following up on the request you submitted yesterday.,92
T057,Speaker E,Igbo,9/2/2026 5:32,Biko nye m nọmba ntụaka gị ka m nwee ike lelee ya.,53
T058,speaker e, Hausa,9/7/2026 15:52,Na gode da kiran ku. Ta yaya zan taimaka muku yau?,174
T059,Speaker D,Hausa,9/5/2026 10:42,Mun tattauna batun kuma za mu sake tuntubar ku gobe. Abokin ciniki ya tabbatar cewa an warware matsalar.,35
T060,Speaker B,Hausa,9/5/2026 23:58,Na gode da kiran ku. Ta yaya zan taimaka muku yau?,168
T001,Speaker A,English,9/7/2026 13:55,The customer confirmed that the issue has now been resolved. I am following up on the request you submitted yesterday.,51
T006,Speaker A,Igbo,9/4/2026 9:13,Onye ahịa kwadoro na edoziwo nsogbu ahụ.,179
T037,Speaker D,Yoruba,9/6/2026 10:00,A ti jiroro oro naa ati pe a o kan si yin lola.,44
